convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,9,9,Triangular Numbers,88.2496021,0.812530883
Fibonacci,9,10,Fibonacci,90.55701549,0.839569207
Fibonacci,9,10,Square,89.5070904,0.883330682
Fibonacci,9,10,Cube,91.09959988,0.854278194
Fibonacci,9,10,Prime Numbers,90.50729952,0.883170357
Fibonacci,9,10,Ramanujan Summation,91.01286212,0.887172007
Fibonacci,9,10,Triangular Numbers,90.82962884,0.959746434
Fibonacci,9,11,Fibonacci,92.17100499,0.864235167
Fibonacci,9,11,Square,92.43981896,0.832948865
Fibonacci,9,11,Cube,93.74729361,0.892304181
Fibonacci,9,11,Prime Numbers,93.61037027,0.839885999
Fibonacci,9,11,Ramanujan Summation,92.97909841,0.954098038
Fibonacci,9,11,Triangular Numbers,93.11732738,0.865839098
Fibonacci,9,12,Fibonacci,93.7776649,0.846721182
Fibonacci,9,12,Square,91.90842861,0.851434214
Fibonacci,9,12,Cube,93.04709738,0.910920871
Fibonacci,9,12,Prime Numbers,92.29780735,0.867112651
Fibonacci,9,12,Ramanujan Summation,92.2823188,0.842916659
Fibonacci,9,12,Triangular Numbers,93.59877685,0.958267596
Fibonacci,9,13,Fibonacci,92.82541635,0.827191508
Fibonacci,9,13,Square,92.81350964,0.871778304
Fibonacci,9,13,Cube,93.30547881,0.902615308
Fibonacci,9,13,Prime Numbers,92.02100384,0.788433244
Fibonacci,9,13,Ramanujan Summation,92.68195297,0.894013025
Fibonacci,9,13,Triangular Numbers,91.68973324,0.817244616
Fibonacci,9,14,Fibonacci,91.82416635,0.906139139
Fibonacci,9,14,Square,91.36985695,0.816867449
Fibonacci,9,14,Cube,91.59699596,0.899638452
Fibonacci,9,14,Prime Numbers,92.09515703,0.920291653
Fibonacci,9,14,Ramanujan Summation,90.68177932,0.908071826
Fibonacci,9,14,Triangular Numbers,93.59238728,0.877565832
Fibonacci,9,15,Fibonacci,89.99398262,0.848434953
Fibonacci,9,15,Square,89.78581139,0.831179021
Fibonacci,9,15,Cube,92.15811087,0.933551735
Fibonacci,9,15,Prime Numbers,91.79166269,0.825025239
Fibonacci,9,15,Ramanujan Summation,91.62411982,0.808146696
